system:index,elevation,landslide,latitude,longitude,rainfall,slope,soil_moisture,.geo
1_000000000000000000a4_0,3826,1,27.44070141597684,88.23231337277957,4658.155451777837,8.108406,0.39488303460731383,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000a5_0,2571,1,27.44070141597684,88.62757209779215,6749.650429252049,5.88206,0.40815232611898883,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000b1_0,689,1,27.144257372217396,88.33112805403272,3485.157977107427,1.5099475,0.36975658811141776,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000b2_0,1552,1,27.24307205347054,88.33112805403272,4709.751482370755,2.4175406,0.38960427077359,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000b3_0,2571,1,27.44070141597684,88.62757209779215,6749.650429252049,5.88206,0.40815232611898883,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000b4_0,2571,1,27.44070141597684,88.62757209779215,6749.650429252049,5.88206,0.40815232611898883,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000b6_0,3220,1,27.24307205347054,88.92401614155165,4184.018249872586,8.043913,0.37248612598543546,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000026_0,3220,1,27.24307205347054,88.92401614155165,4184.018249872586,8.043913,0.37248612598543546,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000002d_0,3902,1,27.341886734723694,88.82520146029844,4317.171643737218,6.5947537,0.3524136805863973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000002f_0,1571,1,27.24307205347054,88.7263867790453,5162.698353889844,5.479581,0.3862113970663588,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000087_0,1634,1,27.341886734723694,88.33112805403272,5460.916931990048,2.6057837,0.4053470717983698,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004_0,1490,1,27.341886734723694,88.62757209779215,6643.860097292325,2.9756112,0.4080427571274068,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000049_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000004a_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000004b_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000004c_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000004d_0,2707,1,27.24307205347054,88.82520146029844,4350.783492687604,8.51478,0.3348720763237896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000004e_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000004f_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000050_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000051_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000052_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000053_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000054_0,2384,1,27.341886734723694,88.7263867790453,5563.639055255315,8.868174,0.398245123369048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005c_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005e_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000062_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000063_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000064_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
