system:index,elevation,landslide,latitude,longitude,rainfall,slope,soil_moisture,.geo
1_00000000000000000099_0,3963,1,27.44998999601463,88.15108770478952,4658.155451777837,5.263776,0.39488303460731383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.15108770478952,27.44998999601463]}"
1_0000000000000000009a_0,3963,1,27.44998999601463,88.15108770478952,4658.155451777837,5.263776,0.39488303460731383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.15108770478952,27.44998999601463]}"
1_0000000000000000009b_0,3826,1,27.44998999601463,88.25108816221768,5680.892984631917,8.108406,0.40800393469241275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.25108816221768,27.44998999601463]}"
1_0000000000000000009c_0,4332,1,27.44998999601463,88.75109044935863,4226.458515289685,5.2738047,0.37239557931723904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.44998999601463]}"
1_0000000000000000009d_0,2571,1,27.44998999601463,88.65108999193046,5455.583910706899,5.88206,0.4011615965182839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.44998999601463]}"
1_0000000000000000009e_0,2571,1,27.44998999601463,88.65108999193046,5455.583910706899,5.88206,0.4011615965182839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.44998999601463]}"
1_0000000000000000009f_0,2571,1,27.44998999601463,88.65108999193046,5455.583910706899,5.88206,0.4011615965182839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.44998999601463]}"
1_000000000000000000a0_0,2571,1,27.44998999601463,88.65108999193046,5455.583910706899,5.88206,0.4011615965182839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.44998999601463]}"
1_000000000000000000a1_0,4332,1,27.44998999601463,88.75109044935863,4226.458515289685,5.2738047,0.37239557931723904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.44998999601463]}"
1_000000000000000000a2_0,4274,1,27.44998999601463,88.05108724736135,4302.144850853345,5.801431,0.39019099436312493,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.05108724736135,27.44998999601463]}"
1_000000000000000000a3_0,4274,1,27.44998999601463,88.05108724736135,4302.144850853345,5.801431,0.39019099436312493,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.05108724736135,27.44998999601463]}"
1_000000000000000000a4_0,3826,1,27.44998999601463,88.25108816221768,5680.892984631917,8.108406,0.40800393469241275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.25108816221768,27.44998999601463]}"
1_000000000000000000a5_0,2571,1,27.44998999601463,88.65108999193046,5455.583910706899,5.88206,0.4011615965182839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.44998999601463]}"
1_000000000000000000b1_0,1003,1,27.149988623730074,88.3510886196459,3436.8388608726477,3.9004166,0.3697770993484533,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.3510886196459,27.149988623730074]}"
1_000000000000000000b2_0,1552,1,27.24998908115826,88.3510886196459,4811.850558284184,2.4175406,0.3948882406655992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.3510886196459,27.24998908115826]}"
1_000000000000000000b3_0,2571,1,27.44998999601463,88.65108999193046,5455.583910706899,5.88206,0.4011615965182839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.44998999601463]}"
1_000000000000000000b4_0,1490,1,27.34998953858645,88.65108999193046,5563.639055255315,2.9756112,0.398245123369048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.34998953858645]}"
1_000000000000000000b6_0,2707,1,27.24998908115826,88.8510909067868,4184.018249872586,8.51478,0.37248612598543546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.24998908115826]}"
1_00000000000000000026_0,2707,1,27.24998908115826,88.8510909067868,4184.018249872586,8.51478,0.37248612598543546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.24998908115826]}"
1_0000000000000000002d_0,2360,1,27.24998908115826,88.75109044935863,4350.783492687604,5.7839594,0.3348720763237896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.24998908115826]}"
1_0000000000000000002f_0,2360,1,27.24998908115826,88.75109044935863,4350.783492687604,5.7839594,0.3348720763237896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.24998908115826]}"
1_00000000000000000087_0,1634,1,27.34998953858645,88.3510886196459,6373.079057100675,2.6057837,0.4121261539384353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.3510886196459,27.34998953858645]}"
1_00000000000000000004_0,1490,1,27.34998953858645,88.65108999193046,5563.639055255315,2.9756112,0.398245123369048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.65108999193046,27.34998953858645]}"
1_00000000000000000049_0,3236,1,27.34998953858645,88.75109044935863,4317.171643737218,8.337781,0.3524136805863973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.34998953858645]}"
1_0000000000000000004a_0,3236,1,27.34998953858645,88.75109044935863,4317.171643737218,8.337781,0.3524136805863973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.34998953858645]}"
1_0000000000000000004b_0,2360,1,27.24998908115826,88.75109044935863,4350.783492687604,5.7839594,0.3348720763237896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.24998908115826]}"
1_0000000000000000004c_0,2360,1,27.24998908115826,88.75109044935863,4350.783492687604,5.7839594,0.3348720763237896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.24998908115826]}"
1_0000000000000000004d_0,2360,1,27.24998908115826,88.75109044935863,4350.783492687604,5.7839594,0.3348720763237896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.24998908115826]}"
1_0000000000000000004e_0,3236,1,27.34998953858645,88.75109044935863,4317.171643737218,8.337781,0.3524136805863973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.34998953858645]}"
1_0000000000000000004f_0,3236,1,27.34998953858645,88.75109044935863,4317.171643737218,8.337781,0.3524136805863973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.34998953858645]}"
1_00000000000000000050_0,3236,1,27.34998953858645,88.75109044935863,4317.171643737218,8.337781,0.3524136805863973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.34998953858645]}"
1_00000000000000000051_0,3236,1,27.34998953858645,88.75109044935863,4317.171643737218,8.337781,0.3524136805863973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.34998953858645]}"
1_00000000000000000052_0,3236,1,27.34998953858645,88.75109044935863,4317.171643737218,8.337781,0.3524136805863973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.34998953858645]}"
1_00000000000000000053_0,3236,1,27.34998953858645,88.75109044935863,4317.171643737218,8.337781,0.3524136805863973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.34998953858645]}"
1_00000000000000000054_0,3236,1,27.34998953858645,88.75109044935863,4317.171643737218,8.337781,0.3524136805863973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.75109044935863,27.34998953858645]}"
1_0000000000000000005c_0,4340,1,27.44998999601463,88.8510909067868,3868.1397841009116,3.7322001,0.3838128119529077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.44998999601463]}"
1_0000000000000000005e_0,4340,1,27.44998999601463,88.8510909067868,3868.1397841009116,3.7322001,0.3838128119529077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.44998999601463]}"
1_00000000000000000062_0,4340,1,27.44998999601463,88.8510909067868,3868.1397841009116,3.7322001,0.3838128119529077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.44998999601463]}"
1_00000000000000000063_0,4340,1,27.44998999601463,88.8510909067868,3868.1397841009116,3.7322001,0.3838128119529077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.44998999601463]}"
1_00000000000000000064_0,4340,1,27.44998999601463,88.8510909067868,3868.1397841009116,3.7322001,0.3838128119529077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.8510909067868,27.44998999601463]}"
